id;id_catedra;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada
1;5759;dual saturate wolf;midwife;anenst what;2025-12-02T10:37:16;ugh and;vice oblong chap;20111;22606;4204.65
2;22333;majority remarkable shadowbox;inwardly;neglect connect;2025-12-02T07:49:29;hastily stuff fooey;till;26019;10496;30044.6
3;2356;syringe;ugh;repeatedly till vainly;2025-12-02T12:18:07;technologist self-assured consequently;of;13514;9245;20104.76
4;8993;premeditation brr;ugh with;besides version;2025-12-02T19:27:17;modulo;odd bah;6073;15551;827.33
5;31410;that memorise ha;continually;after final;2025-12-02T13:23:16;regal representation wrongly;schedule pace whether;1556;7692;24237.5
6;4155;whereas;corner angrily anenst;dandelion finally because;2025-12-02T13:06:25;hmph;tough ski intently;20676;27671;17458.54
7;19887;accentuate;owlishly;vanish the;2025-12-02T09:35:37;obvious splurge;knowledgeably admonish;20972;23366;6670.41
8;3998;abscond aha even;accomplished uncommon;fast among interestingly;2025-12-02T06:20:33;wilderness;criminal nicely inasmuch;28908;13296;24049.99
9;4518;cassava;alligator beneath;that;2025-12-01T21:19:13;flashy whoa anenst;aha;20953;5482;4353.1
10;24046;pleasure gah humble;forenenst helpfully;yippee;2025-12-02T04:52:37;dally against;circumnavigate;10014;6780;15759.33
